"","Order","H","NH","SF","OF","NF","HWD","LWD","NCC","Season"
"113","bifidobacteriales",0,3,0,0,0,1.5,0,0,"Harvest"
"114","halanaerobiales",0,17,0,0,0,0,0,1,"Harvest"
"115","ktedonobacterales",0,1,3,2,2,1,2,2,"Harvest"
"116","mollicutes",0,1,0,0,0,0,0,0,"Harvest"
"117","selenomonadales",0,8,3,5.33333333333333,5.33333333333333,0,1,2,"Harvest"
"118","silvanigrellales",0,6,0,0,0,4,1.5,1,"Harvest"
"119","synergistales",0,4,1,3,3,1,2,0,"Harvest"
"120","thermodesulfobacteriales",0,16,5,6,6,1,1,0,"Harvest"
"121","thermolithobacterales",0,1,0,0,0,0,0,0,"Harvest"
"122","candidatus tectomicrobia",0,0,1,2,2,0,0,0,"Harvest"
"123","cellvibrinales",0,0,8,0,0,0,0,0,"Harvest"
"124","desulfarculales",0,0,2,0,0,0,0,0,"Harvest"
"125","procabacteriales",0,0,2,0,0,0,0,1,"Harvest"
"126","vibrionales",0,0,5,0,0,1,0,0,"Harvest"
"127","cardiobacteriales",0,0,0,1.5,1.5,0,0,0,"Harvest"
"128","deferribacterales",0,0,0,1,1,0,0,0,"Harvest"
"129","desulfurellales",0,0,0,5,5,2,0,1,"Harvest"
"130","natranaerobiales",0,0,0,4,4,0,0,2,"Harvest"
"131","oligoflexales",0,0,0,14,14,1,4,0,"Harvest"
"132","pelagibacterales",0,0,0,17.5,17.5,1,2,0,"Harvest"
"133","sneathiellales",0,0,0,1,1,0,0,0,"Harvest"
"134","chlorobiales",0,0,0,0,0,1,1,1,"Harvest"
"135","pasteurellales",0,0,0,0,0,1,0,0,"Harvest"
"136","ferritrophicales",0,0,0,0,0,0,0,6,"Harvest"
